ID,Level of Student,Graduate Level of Student,Total Men,Total Women,American Indian Alaskan Men,American Indian Alaskan Women,Asian Men,Asian Women,African American Men,African American Women,Hispanic Men,Hispanic Women,Hawaiian or Pacific Islander Men,Hawaiian or Pacific Islander Women,White Men,White Women,Mixed Race Men,Mixed Race Women,Unknown Race Men,Unknown Race Women,Non-Resident Alien Men,Non-Resident Alien Women
100654,1,1,2560,4068,8,10,7,8,2172,3466,32,31,1,3,71,67,28,55,198,381,43,47
100654,2,2,2215,3314,7,8,4,4,1964,2998,31,29,1,3,59,43,27,53,103,155,19,21
100654,3,2,2210,3307,7,8,4,4,1961,2992,31,29,1,3,57,42,27,53,103,155,19,21
100654,4,2,677,955,2,3,1,1,597,878,8,11,0,1,16,7,11,21,39,31,3,2
100654,5,2,1533,2352,5,5,3,3,1364,2114,23,18,1,2,41,35,16,32,64,124,16,19
100654,11,2,5,7,0,0,0,0,3,6,0,0,0,0,2,1,0,0,0,0,0,0
100654,12,4,345,754,1,2,3,4,208,468,1,2,0,0,12,24,1,2,95,226,24,26
100654,19,2,105,139,1,0,0,0,90,117,2,1,0,0,9,16,2,1,1,2,0,2
100654,20,2,1428,2213,4,5,3,3,1274,1997,21,17,1,2,32,19,14,31,63,122,16,17
100654,22,2,1960,2950,7,7,3,3,1744,2690,29,27,1,3,47,31,23,47,87,123,19,19
100654,23,2,1960,2950,7,7,3,3,1744,2690,29,27,1,3,47,31,23,47,87,123,19,19
100654,24,2,653,910,2,3,0,1,582,842,8,11,0,1,15,6,11,21,32,23,3,2
100654,25,2,1307,2040,5,4,3,2,1162,1848,21,16,1,2,32,25,12,26,55,100,16,17
100654,39,2,83,107,1,0,0,0,72,93,2,1,0,0,7,10,0,1,1,0,0,2
100654,40,2,1224,1933,4,4,3,2,1090,1755,19,15,1,2,25,15,12,25,54,100,16,15
100654,42,2,255,364,0,1,1,1,220,308,2,2,0,0,12,12,4,6,16,32,0,2
100654,43,2,250,357,0,1,1,1,217,302,2,2,0,0,10,11,4,6,16,32,0,2
100654,44,2,24,45,0,0,1,0,15,36,0,0,0,0,1,1,0,0,7,8,0,0
100654,45,2,226,312,0,1,0,1,202,266,2,2,0,0,9,10,4,6,9,24,0,2
100654,51,2,5,7,0,0,0,0,3,6,0,0,0,0,2,1,0,0,0,0,0,0
100654,59,2,22,32,0,0,0,0,18,24,0,0,0,0,2,6,2,0,0,2,0,0
100654,60,2,204,280,0,1,0,1,184,242,2,2,0,0,7,4,2,6,9,22,0,2
100663,1,1,9622,16705,18,49,660,955,1640,4004,441,739,3,6,5610,9540,332,605,173,263,745,544
100663,2,2,5991,9684,8,29,438,586,1182,2632,354,579,3,4,3440,5135,253,474,45,50,268,195
100663,3,2,5744,9328,8,28,424,574,1156,2538,347,562,3,4,3326,4962,248,457,43,44,189,159
100663,4,2,800,1423,1,4,76,148,148,322,56,107,1,0,458,729,38,78,8,13,14,22
100663,5,2,4944,7905,7,24,348,426,1008,2216,291,455,2,4,2868,4233,210,379,35,31,175,137
100663,11,2,247,356,0,1,14,12,26,94,7,17,0,0,114,173,5,17,2,6,79,36
100663,12,4,3631,7021,10,20,222,369,458,1372,87,160,0,2,2170,4405,79,131,128,213,477,349
100663,19,2,740,1150,1,5,18,20,150,359,52,72,0,0,479,615,24,55,3,7,13,17
100663,20,2,4204,6755,6,19,330,406,858,1857,239,383,2,4,2389,3618,186,324,32,24,162,120
100663,22,2,4221,6760,6,16,353,508,837,1676,262,434,3,1,2334,3594,194,346,33,31,199,154
100663,23,2,4182,6723,6,16,352,505,836,1675,262,433,3,1,2330,3589,194,345,33,30,166,129
100663,24,2,756,1387,1,4,73,146,140,313,55,105,1,0,429,707,36,77,8,13,13,22
100663,25,2,3426,5336,5,12,279,359,696,1362,207,328,2,1,1901,2882,158,268,25,17,153,107
100663,31,2,39,37,0,0,1,3,1,1,0,1,0,0,4,5,0,1,0,1,33,25
100663,39,2,463,668,1,3,13,14,104,194,35,40,0,0,283,363,13,39,3,5,11,10
100663,40,2,2963,4668,4,9,266,345,592,1168,172,288,2,1,1618,2519,145,229,22,12,142,97
100663,42,2,1770,2924,2,13,85,78,345,956,92,145,0,3,1106,1541,59,128,12,19,69,41
100663,43,2,1562,2605,2,12,72,69,320,863,85,129,0,3,996,1373,54,112,10,14,23,30
100663,44,2,44,36,0,0,3,2,8,9,1,2,0,0,29,22,2,1,0,0,1,0
100663,45,2,1518,2569,2,12,69,67,312,854,84,127,0,3,967,1351,52,111,10,14,22,30
100663,51,2,208,319,0,1,13,9,25,93,7,16,0,0,110,168,5,16,2,5,46,11
100663,59,2,277,482,0,2,5,6,46,165,17,32,0,0,196,252,11,16,0,2,2,7
100663,60,2,1241,2087,2,10,64,61,266,689,67,95,0,3,771,1099,41,95,10,12,20,23
100690,1,1,450,637,2,5,5,8,144,460,20,12,3,1,262,139,0,0,14,12,0,0
100690,2,2,123,250,0,1,0,0,54,198,7,4,0,0,56,43,0,0,6,4,0,0
100690,3,2,123,250,0,1,0,0,54,198,7,4,0,0,56,43,0,0,6,4,0,0
100690,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100690,5,2,123,249,0,1,0,0,54,197,7,4,0,0,56,43,0,0,6,4,0,0
100690,12,4,327,387,2,4,5,8,90,262,13,8,3,1,206,96,0,0,8,8,0,0
100690,19,2,110,210,0,1,0,0,47,167,6,3,0,0,52,35,0,0,5,4,0,0
100690,20,2,13,39,0,0,0,0,7,30,1,1,0,0,4,8,0,0,1,0,0,0
100690,22,2,68,162,0,1,0,0,33,127,5,3,0,0,27,30,0,0,3,1,0,0
100690,23,2,68,162,0,1,0,0,33,127,5,3,0,0,27,30,0,0,3,1,0,0
100690,25,2,68,162,0,1,0,0,33,127,5,3,0,0,27,30,0,0,3,1,0,0
100690,39,2,61,141,0,1,0,0,29,113,4,2,0,0,25,24,0,0,3,1,0,0
100690,40,2,7,21,0,0,0,0,4,14,1,1,0,0,2,6,0,0,0,0,0,0
100690,42,2,55,88,0,0,0,0,21,71,2,1,0,0,29,13,0,0,3,3,0,0
100690,43,2,55,88,0,0,0,0,21,71,2,1,0,0,29,13,0,0,3,3,0,0
100690,44,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100690,45,2,55,87,0,0,0,0,21,70,2,1,0,0,29,13,0,0,3,3,0,0
100690,59,2,49,69,0,0,0,0,18,54,2,1,0,0,27,11,0,0,2,3,0,0
100690,60,2,6,18,0,0,0,0,3,16,0,0,0,0,2,2,0,0,1,0,0,0
100706,1,1,6303,5015,43,47,233,188,442,642,339,251,14,5,4472,3231,203,197,287,327,270,127
100706,2,2,5168,3718,41,37,199,145,374,481,311,217,5,5,3771,2465,193,182,138,126,136,60
100706,3,2,4968,3528,38,36,176,128,355,447,301,210,4,5,3682,2368,188,178,121,99,103,57
100706,4,2,865,515,4,3,26,17,57,62,66,23,2,0,628,357,44,40,25,8,13,5
100706,5,2,4103,3013,34,33,150,111,298,385,235,187,2,5,3054,2011,144,138,96,91,90,52
100706,11,2,200,190,3,1,23,17,19,34,10,7,1,0,89,97,5,4,17,27,33,3
100706,12,4,1135,1297,2,10,34,43,68,161,28,34,9,0,701,766,10,15,149,201,134,67
100706,19,2,491,526,5,6,17,19,50,89,45,28,0,1,343,326,12,32,13,21,6,4
100706,20,2,3612,2487,29,27,133,92,248,296,190,159,2,4,2711,1685,132,106,83,70,84,48
100706,22,2,4115,2886,29,28,136,103,272,336,242,167,3,5,3057,1971,170,150,108,75,98,51
100706,23,2,4110,2879,28,28,136,103,272,335,242,166,3,5,3055,1966,170,150,108,75,96,51
100706,24,2,854,502,4,2,25,16,55,59,64,22,2,0,622,351,44,39,25,8,13,5
100706,25,2,3256,2377,24,26,111,87,217,276,178,144,1,5,2433,1615,126,111,83,67,83,46
100706,31,2,5,7,1,0,0,0,0,1,0,1,0,0,2,5,0,0,0,0,2,0
100706,39,2,353,378,5,4,10,11,33,62,34,21,0,1,244,240,10,24,11,14,6,1
100706,40,2,2903,1999,19,22,101,76,184,214,144,123,1,4,2189,1375,116,87,72,53,77,45
100706,42,2,1053,832,12,9,63,42,102,145,69,50,2,0,714,494,23,32,30,51,38,9
100706,43,2,858,649,10,8,40,25,83,112,59,44,1,0,627,402,18,28,13,24,7,6
100706,44,2,11,13,0,1,1,1,2,3,2,1,0,0,6,6,0,1,0,0,0,0
100706,45,2,847,636,10,7,39,24,81,109,57,43,1,0,621,396,18,27,13,24,7,6
100706,51,2,195,183,2,1,23,17,19,33,10,6,1,0,87,92,5,4,17,27,31,3
100706,59,2,138,148,0,2,7,8,17,27,11,7,0,0,99,86,2,8,2,7,0,3
100706,60,2,709,488,10,5,32,16,64,82,46,36,1,0,522,310,16,19,11,17,7,3
100724,1,1,1626,2852,2,7,9,4,1418,2592,28,29,6,2,73,125,27,34,24,33,39,26
100724,2,2,1444,2470,2,5,6,4,1302,2313,25,25,6,2,29,35,23,31,18,31,33,24
100724,3,2,1443,2470,2,5,6,4,1301,2313,25,25,6,2,29,35,23,31,18,31,33,24
100724,4,2,390,665,0,1,2,0,360,616,6,7,2,0,7,12,1,10,4,12,8,7
100724,5,2,1053,1805,2,4,4,4,941,1697,19,18,4,2,22,23,22,21,14,19,25,17
100724,11,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100724,12,4,182,382,0,2,3,0,116,279,3,4,0,0,44,90,4,3,6,2,6,2
100724,19,2,57,91,0,0,0,0,45,77,1,6,0,0,2,1,0,2,1,1,8,4
100724,20,2,996,1714,2,4,4,4,896,1620,18,12,4,2,20,22,22,19,13,18,17,13
100724,22,2,1233,2178,1,4,3,4,1121,2037,24,22,4,1,23,31,12,28,13,27,32,24
